error,raw_row,FILENAME
list index out of range,10 36 Jules BIANCHI FRA Sahara Force India F1 Team 0 2,2012-1-3.gif
list index out of range,14 35 Sergey SIROTKIN RUSWilliams Martini Racing. 1:22.350 66 08 4.303 1.432 203.49,2018-2-2.gif
list index out of range,4 5 F1 Femando ALONsO ESP Souderia Ferrari Marlboro 0,2011-4-5.gif
list index out of range,5 7 F1 Michael SCHUMACHER DEU Mercedes GP Petronas F1 Team 0,2011-4-5.gif
list index out of range,7 18 F1 Sebastien BUEMI CHE Souderia Toro Rosso 1:21.681 60 92 1.320 0.107 195.15,2011-2-3.gif
list index out of range,Car #44 - Lap time disallowed - Missed chicane,2018-1-4.gif
list index out of range,3 18 F1 Sebastien BUEMI CHE Souderia Toro Rosso. 1:23.550 23 90 0.925 0.108 200.57,2011-3-4.gif
list index out of range,13 7 Michael SCHUMACHER DEU Mercedes Amg Petronas 0 5,2012-4-1.gif
list index out of range,2 36 Rodolfo GONZALEZ VEN Sahara Force India F1 Team 118.018 76 79 1.033 1.033 203.53,2012-6-3.gif
list index out of range,1 6 Sergio PEREZ MEXVodafone McLaren Mercedes 1:21.848 45 97 204.74,2013-2-2.gif
list index out of range,3 7 Kimi RAIKKONEN Lotus F1 Team 1:22.697 7 43 0.849 0.500 202.64,2013-2-2.gif
list index out of range,9 18 F1 Sebastien BUEMI CHE Souderia Toro Rosso 1:26.155 18 31 2.987 0.435 194.50,2011-3-3.gif
list index out of range,12 41 F1 Georgio MONDINI CHE HRT F1 Team 1:28.178 30 39 5.010 1.580 190.04,2011-3-3.gif
list index out of range,2 3 Daniel RICCIARDO AUS Aston Martin Red Bull Racing 2,2018-1-3.gif
list index out of range,3 28 Brendon HARTLEY NZL Red Bull Toro Rosso Honda 2,2018-1-3.gif
list index out of range,4 9 Marcus ERIC ssON SWE  Alfa Romeo Sauber F1 Team 1,2018-1-3.gif
list index out of range,5 40 Robert KUBICA POL Williams Martini Racing,2018-1-3.gif
list index out of range,11 41 Tio ELLINAS CYP  Marussia F1 Team 1:36.676 33 36 3.074 1.025 219.36,2013-4-1.gif
list index out of range,14 40 F1 Ricardo TEIXEIRA AGO Team Lotus 1:31.584 22 26 8.269 4.342 182.97,2011-3-2.gif
list index out of range,11 18 F1 Sebastien BUEMI CHE Souderia Toro Rosso 1:16.359 42 46 3.052 0.093 188.81,2011-1-2.gif
list index out of range,14 61 Rodolfo GONZALEZ N3A Marussia F1 Team 1:36.339 24 24 3.445 0.697220.13,2013-4-3.gif
list index out of range,13 35 Sergey SIROTKIN RUSWilliams Martini Racing. 1:44.148 14 28 23.969 18.520 160.90,2018-1-1.gif
list index out of range,Car #14 - Short cut at T14 (14:56) - Lap time disallowed,2018-1-1.gif
list index out of range,15 59 F1 Vladimir ARABADZHIEV BUL Lotus Racing 1:45.723 47 49 7.621 1.411 189.12,2010-5-2.gif
list index out of range,10 18 F1 Sebastien BUEMI CHE Souderia Toro Rosso 1:14.801 68 73 1.657 0.264 192.75,2011-1-3.gif
list index out of range,12 20 F1 Jamo TRULLI ITA Team Lotus 0 38,2011-1-3.gif
list index out of range,11 17 Valtteri BOTTA S FIN Williams F1 Team 0 23,2013-2-4.gif
list index out of range,12 16 Pastor MALDONADO VEN Williams F1 Team 0 13,2013-2-4.gif
